user_id,email,phone,password,type,permissions,role,monitor_status
54,fkemp@gallegos.org,9855115838,password400,User,Moderate,Admin,FALSE
55,mendozajonathan@wilson-thornton.com,9832085515,password697,Admin,Full,Manager,FALSE
56,walkerryan@gmail.com,9833601167,password345,Admin,Full,User,FALSE
57,richard34@jones.com,9835090041,password135,User,Full,Manager,FALSE
58,apatrick@gmail.com,9873577710,password306,Admin,Moderate,Manager,FALSE
59,hutchinsonmichele@hotmail.com,9853665759,password930,User,Moderate,Admin,TRUE
60,joshua18@gmail.com,9861443988,password463,Admin,Limited,Manager,FALSE
61,jason28@gmail.com,9857732563,password912,User,Full,User,FALSE
62,richard21@hotmail.com,9879905443,password722,User,Moderate,Admin,TRUE
63,jclarke@hotmail.com,9860848967,password132,User,Moderate,User,TRUE
64,jessicagarrett@hotmail.com,9885720103,password921,User,Moderate,Admin,FALSE
65,carlrobertson@allen-rodriguez.com,9828102865,password210,User,Moderate,User,FALSE
66,shawnarellano@hotmail.com,9894582442,password313,User,Limited,User,FALSE
67,hjackson@cooke-white.com,9836690188,password158,User,Full,Admin,TRUE
68,williamhart@hotmail.com,9888274560,password844,User,Limited,Admin,FALSE
69,phillipsdebra@harris.com,9813502686,password871,Admin,Moderate,User,TRUE
70,michelemiller@yahoo.com,9826086261,password478,Admin,Full,Manager,TRUE
71,michelledecker@hotmail.com,9869477701,password383,User,Limited,Manager,FALSE
72,lucerozachary@white.net,9835775591,password797,Admin,Full,User,TRUE
73,tjohnson@yahoo.com,9843011569,password887,User,Moderate,User,TRUE
74,mgonzalez@yahoo.com,9832602930,password810,User,Limited,Admin,FALSE
75,kathycarrillo@gmail.com,9842634450,password315,User,Moderate,Manager,FALSE
76,baileymark@gmail.com,9853210484,password983,User,Moderate,Manager,FALSE
77,patricia31@williams-perez.com,9835216918,password577,Admin,Limited,User,TRUE
78,davidwilson@johnson-hart.biz,9864509032,password474,Admin,Limited,Admin,TRUE
79,heatherholland@gmail.com,9868653311,password344,User,Full,Admin,TRUE
80,jeremy36@hernandez.net,9860997947,password587,Admin,Limited,Manager,FALSE
81,landrykelly@martinez.com,9866985020,password590,Admin,Limited,User,FALSE
82,dbrown@yahoo.com,9889870375,password804,Admin,Limited,Admin,TRUE
83,kristincole@foster-potts.biz,9876284227,password842,Admin,Full,Manager,FALSE
84,brian96@hotmail.com,9813817038,password215,User,Limited,Manager,FALSE
85,parkkyle@perez.net,9831471331,password863,Admin,Limited,Manager,TRUE
86,bookeralyssa@gmail.com,9819973905,password833,User,Moderate,Admin,FALSE
87,samanthavincent@shaffer.com,9817187495,password451,Admin,Full,Admin,TRUE
88,kellywood@hutchinson.com,9830018439,password406,User,Full,User,TRUE
89,christy58@white-pope.info,9870416683,password614,Admin,Moderate,Admin,FALSE
90,scottmcclure@macdonald.com,9896888825,password325,User,Full,User,FALSE
91,andersonchristina@hotmail.com,9863519904,password658,Admin,Full,Manager,TRUE
92,fordyolanda@kramer.org,9817331184,password601,User,Limited,User,TRUE
93,jennifer50@weeks.net,9849297604,password894,User,Full,User,FALSE
94,richardsonedward@adams-bailey.net,9849676263,password780,User,Full,Admin,FALSE
95,obutler@stone.info,9855377700,password850,Admin,Full,Manager,TRUE
96,ernestreed@yahoo.com,9824771372,password178,Admin,Limited,Manager,TRUE
97,daltonkatie@gates.net,9819053398,password257,Admin,Limited,Admin,FALSE
98,kimking@bolton.com,9876680761,password264,Admin,Limited,User,FALSE
99,james06@austin.com,9860138461,password892,User,Moderate,User,TRUE
100,fischersabrina@yahoo.com,9820967706,password826,User,Limited,Manager,TRUE
